"age","fx"
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0.031055900621118
19,0.136645962732919
20,0.204968944099379
21,0.397515527950311
22,0.503105590062112
23,0.459627329192547
24,0.540372670807453
25,0.478260869565217
26,0.552795031055901
27,0.428571428571428
28,0.503105590062112
29,0.484472049689441
30,0.490683229813665
31,0.509316770186335
32,0.440993788819876
33,0.46583850931677
34,0.459627329192547
35,0.534161490683229
36,0.403726708074534
37,0.409937888198758
38,0.46583850931677
39,0.335403726708075
40,0.372670807453416
41,0.378881987577641
42,0.236024844720497
43,0.198757763975156
44,0.142857142857142
45,0.0559006211180133
46,0.062111801242235
47,0.0310559006211175
48,0.0062111801242235
49,0
